"Please correct Facebook Pixel ID: ""%1"".","Please correct Facebook Pixel ID: ""%1""."
"Hevelop Extensions","Hevelop Extensions"
"Info","Info"
"Facebook Pixel","Facebook Pixel"
"About","About"
"General","General"
"Enabled","Enabled"
"Enables or disables extension.","Enables or disables extension."
"Facebook Pixel ID","Facebook Pixel ID"
"Your Facebook Pixel ID.","Your Facebook Pixel ID."
